"THP1 Count (tpm)"
"LILRA1",1.29
"LILRA2",43.5
"LILRA4",0.42
"LILRA5",0.04
"LILRA6",0
"LILRB1",2.26
"LILRB2",1.26
"LILRB3",0.21
"LILRB4",79.26
"LILRB5",0
"CD33",81.88
"HAVCR2",0.25
"LAIR1",241
"SIGLEC7",5.33
"SIGLEC9",0.74
"SIRPA",26.34
